use,/juːs/
union,/ˈjuːnjən/
university,/juːnɪˈvɜːsətiː/
unit,/ˈjuː.nɪt/
user,/ˈjuːzə(ɹ)/
unity,/ˈjuːnɪti/
universe,/ˈjuːnɪˌvɜːs/
uniform,/ˈjuːnɪfɔːm/
usage,"/ˈjuːsɪd͡ʒ/ /ˈjuːzɪd͡ʒ/"
utility,/juːˈtɪl.ɪ.ti/
urine,"/ˈjʊɹɪn/ /ˈjɝɪn/"
uranium,/jʊˈɹeɪniəm/
unison,"/ˈjunɨsən/ /ˈjunɨzən/"
euphoria,/juːˈfɔːɹi.ə/
utopia,/juˈtəʊpɪə/
unanimity,/juːnəˈnɪmɪti/
uterus,/ˈjuː.təɹ.əs/
euthanasia,/juː.θəˈneɪ.zɪ.ə/
ewe,/juː/
ufo,/ˈju.fo/
unicorn,/ˈjuːnɪkɔːn/
urea,"/jʊˈɹiːə/ /ˈjʊəɹɪə/"
urethra,/jʊˈɹiːθɹə/
euphemism,/ˈjuː.fəˌmɪ.z(ə)m/
eugenics,/juːˈdʒɛnɪks/
usurper,/juˈsɜɹpə(ɹ)/
usability,/ˌjuːzəˈbɪlɪti/
eunuch,/ˈjuː.nʌk/
uni,/ˈjuː.niː/
eucalyptus,/ˌjuːkəˈlɪptəs/
usury,/ˈjuːʒəɹi/
eulogy,/ˈjuːlədʒi/
ubiquity,/juˈbɪkwɪti/
universalism,/ˌjuːnəˈvɝsəlˌɪzəm/
urinal,/juːˈɹaɪnəl/
universal,/ˌjuːnɪˈvɜːsl/
ewer,"/ˈjuː.ə/ /ˈjʊə/"
euro,/ˈjʊəɹəʊ/
utensil,/juˈtɛn.səl/
ufology,"/ˌjuːˈfɑlədʒi/ /ˌjuːɛfˈɑlədʒi/"
uniformitarianism,/juːnɪfɔːmɪˈtɛːɹɪənɪzm/
upsilon,"/juːpˈsaɪ.lən/ /ˈʌp.sɪˌlɒn/"
ukulele,/juː.kə.ˈleɪ.li/
urinalysis,/jʊəɹɪˈnælɪsɪs/
usurer,"/ˈjuːʒəɹə/ /ˈjuːzjəɹə/"
ureter,/jʊəˈɹiːtəɹ/
uridine,/ˈjʊə.ɹɪ.din/
ute,/juːt/
eugenist,/juːˈdʒɛnɪst/
eutectic,/juˈtɛk.tɪk/
eukaryote,"/juˈkæɹi.əʊt/ /juˈkæɹi.əɒt/"
ufologist,/ˌjuːˈfɑlədʒɪst/
ululation,"/juːljʊˈleɪʃ(ə)n/ /ʌljʊ./"
usufruct,/ˈjuːz(j)ʊfɹʌkt/
eustasy,/ˈjuːstəsi/
unary,/ˈjunəɹi/
uvula,/ˈjuːv.jʊ.lə/
urus,/ˈjʊəɹəs/
eucatastrophe,/ˌjuːkəˈtæstɹəfi/
uraeus,/jʊˈɹiː.əs/
ouabain,"/ˈwɑːbeɪn/ /ˈuːəbeɪn/"
one,"/wʌn/ /wɐn/"
using,/ˈjuːzɪŋ/
Ucalegon,/juːˈkælɨɡɒn/
oncer,/ˈwʌnsə/
Usanian,/ˌjuːˈseɪni.ən/
usufruction,/juːz(j)ʊˈfɹʌkʃən/
Eusebius,/juˈsibi.əs/
USAR,/ˈju.sɑɹ/
usufructuary,"/ˌjuːz(j)ʊˈfɹʌktʃʊˌəɹi/ /.tjʊ./"
Amazigh,"/ʔæ.mæːˈziːʁ/ /ʔɑ.mɑːˈziːʁ/ /ʔa.maːˈziːʁ/"
usuress,"/ˌjuːʒəˈɹɛs/ /ˌjuːzjəˈɹɛs/"
euouae,/juːˈuːɪ/
ukase,/juːˈkeɪz/
euclidianness,/juːˈklɪdi.ən.nɛs/
uke,/juːk/
uke,/juːk/
Uke,/juːk/
Ukie,/ˈjuːki/
ureteroureterostomy,/jʊˌriːtəroʊjʊˌriːtəˈrɒstəmi/
usurping,/juːˈsɜː(ɹ)pɪŋ/
eustress,/juːˈstɹɛs/
Unakas,/juˈneɪkəs/
eudaemon,/juˈdimən/
Ukrainian,/juːˈkɹeɪnɪən/
unidirectionality,/ˌjuː.ni.də.ɹek.ʃənˈɛl.ɪ.ti/
Utahn,"/ˈjuːtɑːn/ /ˈjuːtɔːn/"
unite,"/juˈnaɪt/ /jʊˈnaɪt/ /ju̟ˈnaɪ̯ʔ/ /ju̟ˈnaɪ̯(ʔ)t̚/"
uranism,/ˈjʊəɹənɪzəm/
uranist,/ˈjʊəɹənɪst/
eudemonia,/ˌjuːdɪˈməʊnɪə/
euth,/juθ/
Ute,/ˈjuːt/
European,"/jʊɹəˌpiːən ˈbaɪsn̩/"
uranophobia,/ˈjuɹənoˌfəʊbi.ə/
euphoriant,/juˈfɔɹi.ənt/
uvular,/ˈjuːvjʊləɹ/
Ouija,"/ˈwiːdʒə/ /ˈwiːdʒi/"
uropygium,/jʊəɹəˈpɪd͡ʒɪəm/
eugarie,"/juːɡəɹi/ /juːɡaːɹi/"
eugenesis,/ˈju.ˌd͡ʒɛn.ə.sɪs/
UW,/ˈjuˈdʌb/
Iatmul,/ˈjɒtmʊl/
eutripsia,/juːˈtɹɪpsɪə/
uey,/ˈjuː.i/
eugeny,/ˈjuːd͡ʒəni/
euglena,/juːˈɡliːnə/
UFO,"/ju ɛf ˈəʊ/"
unigeniture,"/ˌjuːnɪˈdʒɛnɪtjʊə/ /ˌjuːnɪˈdʒɛnɪtʃə/"
univalence,"/ˌjuːnɪˈveɪləns/ /juːˈnɪvələns/"
univalent,"/ˌjuːnɪˈveɪlənt/ /juːˈnɪvələnt/"
utile,/ˈjuː.taɪl/
utilitarian,/juˌtɪl.ɪˈteɪɹ.i.ən/
ubac,/ˈjuː.bæk/
eulachon,/ˈjuːləkɒn/
unique,/juːˈniːk/
Usonian,/juːˈsoʊni.ən/
Eurasian,/jʊ.ɹeɪʒən.wɪd͡ʒən/
Oaxaca,"/wɑːˈhɑː.kɑː/ /wəˈhɑː.kɑː/"
uniquity,/juˈnɪkwɪti/
eureka,/juˈɹikə/
onesie,/ˈwʌn.zi/
Universalism,/ˌjuːnəˈvɝsəlˌɪzəm/
uberty,/ˈjuːbəti/
uni,/ˈjuː.niː/
ubication,/juːbɪˈkeɪʃən/
Utonian,/juːˈtoʊ.ni.ən/
ubicity,/juːˈbɪsɪti/
Euboean,/juːˈbiːən/
Uniate,/ˈjuː.nɪ.ət/
euro,/ˈjʊəɹəʊ/
utopographer,/ˌjuːtə(ʊ)ˈpɒɡɹəfə/
esclop,/slɒp/
Euro-American,"/ˈjʊɹ.oʊ.əˈmɛɹ.ɪ.kən/ /ˈjɝ.oʊ.əˈmɛɹ.ɪ.kən/"
Eumenides,/juˈmɛnɪdiːz/
Eucharist,/ˈjuːkəɹɪst/
univocal,"/juːnɪˈvəʊkəl/ /juːˈnɪvək(ə)l/"
US-ian,/ˌjuːˈɛsi.ən/
euchologion,/juːkə(ʊ)ˈləʊdʒɪən/
euchre,/ˈjuːkəɹ/
eunoia,/juːˈnɔɪ.ə/
Unix,/ˈjuːnɪks/